x,y,latent,bandcontrast,cluster
77,199,0.00039740535,72.0,1
78,199,8.932827e-05,82.0,1
79,199,0.00020840578,74.0,1
80,199,0.0002500717,82.0,1
81,199,0.000221672,75.0,1
82,199,0.00040394207,71.0,1
83,199,0.0006005059,65.0,1
84,199,6.079569e-05,51.0,1
85,199,0.00034159765,60.0,1
86,199,0.00025408,67.0,1
87,199,0.00018018368,68.0,1
88,199,9.247573e-05,69.0,1
89,199,0.00020549895,71.0,1
20,200,3.0412222e-05,146.0,0
21,200,0.0001177775,154.0,0
22,200,-2.101151e-05,159.0,0
23,200,-0.00014624122,157.0,0
24,200,1.6030506e-05,159.0,0
25,200,-4.1582156e-05,155.0,0
26,200,0.00024665188,149.0,0
27,200,0.000121830846,145.0,0
28,200,7.1385293e-06,149.0,0
29,200,-0.00018253678,153.0,0
30,200,0.00034882152,149.0,0
31,200,-7.647264e-05,138.0,0
32,200,0.0002661823,132.0,0
33,200,-2.2212073e-05,121.0,2
34,200,0.00028860365,96.0,2
35,200,-3.83819e-05,82.0,1
36,200,0.0002973341,75.0,1
37,200,0.00013277994,80.0,1
38,200,0.0004457666,75.0,1
39,200,0.00044808903,67.0,1
40,200,0.00010891969,59.0,1
41,200,0.00026392413,57.0,1
42,200,0.00029186258,70.0,1
43,200,0.00030382123,86.0,2
44,200,-6.13532e-05,83.0,1
